Komponente;Anzahl Nutzungen;Typ
cache/Cache;1;Komponente
core/DisconnectAfterPacket;1;Komponente
core/Drop;1;Komponente
core/Merge;1;Komponente
core/Output;1;Komponente
core/Repeat;3;Komponente
core/Split;3;Komponente
flow/Accept;1;Komponente
flow/Deny;1;Komponente
flow/Stop;1;Komponente
math/Add;1;Komponente
math/Divide;3;Komponente
math/Multiply;2;Komponente
objects/ExtractProperty;3;Komponente
objects/SetPropertyValue;1;Komponente
objects/SplitArray;2;Komponente
packets/Counter;4;Komponente
packets/Range;2;Komponente
strings/LowerCaseString;2;Komponente
strings/Replace;1;Komponente
strings/SplitStr;3;Komponente
teaser/ExtractKeywords;1;Subgraph
teaser/FilterBadwords;2;Subgraph
teaser/LoadBadwords;1;Subgraph
teaser/RelevanceByPosition;1;Komponente
teaser/ScoreByKeywords;1;Komponente
teaser/ScoreByLength;1;Komponente
teaser/ScoreByPosition;1;Subgraph
teaser/ScoreByTitle;1;Subgraph
teaser/ScoreStepWrapper;4;Komponente
teaser/StructureSentenceIp;1;Komponente
teaser/Teaser;1;Subgraph
underscore/SortBy;2;Komponente
